timestamp,game,score,best_score,avg_score,steps,episode_reward,epsilon,memory_size
2026-04-09T14:06:11,1,6,6,6.00,2229,661.6100000000118,80,2229
2026-04-09T14:06:56,2,5,6,5.50,1730,519.100000000006,79,3959
2026-04-09T14:08:02,3,6,6,5.67,2571,-239.30999999999918,78,6530
2026-04-09T14:08:35,4,4,6,5.25,1274,201.66000000000327,77,7804
2026-04-09T15:07:19,5,0,6,4.20,11,-10.11,76,8636
2026-04-09T15:07:21,6,0,6,3.50,48,-10.48,75,8684
2026-04-09T15:07:23,7,0,6,3.00,70,-10.7,74,8754
2026-04-09T15:07:24,8,1,6,2.75,22,0.7800000000000011,73,8776
2026-04-09T15:07:27,9,0,6,2.44,74,-20.540000000000006,72,8850
2026-04-09T15:07:28,10,0,6,2.20,17,-10.17,71,8867
2026-04-09T15:07:30,11,2,6,2.18,53,11.969999999999994,70,8920
2026-04-09T15:07:32,12,0,6,2.00,54,-16.34,69,8974
2026-04-09T15:07:35,13,0,6,1.85,86,-23.060000000000016,68,9060
2026-04-09T15:07:37,14,0,6,1.71,32,-11.719999999999999,67,9092
2026-04-09T15:07:38,15,0,6,1.60,18,-10.18,66,9110
2026-04-09T15:07:40,16,0,6,1.50,25,-10.25,65,9135
2026-04-09T15:07:42,17,1,6,1.47,51,-3.109999999999996,64,9186
2026-04-09T15:07:43,18,1,6,1.44,18,4.320000000000002,63,9204
2026-04-09T15:07:44,19,1,6,1.42,10,4.400000000000002,62,9214
2026-04-09T15:07:46,20,0,6,1.35,68,-19.28,61,9282
2026-04-09T15:07:49,21,1,6,1.33,58,-5.379999999999996,60,9340
2026-04-09T15:07:50,22,0,6,1.27,27,-10.67,59,9367
2026-04-09T15:07:51,23,0,6,1.22,22,-10.22,58,9389
2026-04-09T15:07:52,24,0,6,1.17,15,-10.15,57,9404
2026-04-09T15:07:54,25,0,6,1.12,21,-10.209999999999999,56,9425
2026-04-09T15:07:57,26,0,6,1.08,85,-22.850000000000016,55,9510
2026-04-09T15:08:00,27,1,6,1.07,100,-16.00000000000001,54,9610
2026-04-09T15:08:03,28,1,6,1.07,107,-17.470000000000027,53,9717
2026-04-09T15:08:05,29,1,6,1.07,30,-0.6999999999999993,52,9747
2026-04-09T15:08:06,30,0,6,1.03,11,-10.11,51,9758
2026-04-09T15:08:09,31,1,6,1.03,75,-6.75,50,9833
2026-04-09T15:08:10,32,0,6,1.00,12,-10.12,49,9845
2026-04-09T15:08:11,33,0,6,0.97,31,-11.51,48,9876
2026-04-09T15:08:12,34,0,6,0.94,12,-10.12,47,9888
2026-04-09T15:08:16,35,2,6,0.97,112,5.480000000000011,46,10000
2026-04-09T15:08:17,36,0,6,0.94,16,-10.16,45,10016
2026-04-09T15:08:19,37,0,6,0.92,45,-14.45,44,10061
2026-04-09T15:08:21,38,1,6,0.92,56,-2.959999999999999,43,10117
2026-04-09T15:08:22,39,1,6,0.92,15,-0.15000000000000036,42,10132
2026-04-09T15:08:23,40,0,6,0.90,13,-10.129999999999999,41,10145
2026-04-09T15:08:26,41,0,6,0.88,70,-19.700000000000003,40,10215
2026-04-09T15:08:27,42,0,6,0.86,23,-10.23,39,10238
2026-04-09T15:08:29,43,1,6,0.86,69,-5.29,38,10307
2026-04-09T15:08:30,44,0,6,0.84,10,-10.1,37,10317
2026-04-09T15:08:32,45,0,6,0.82,29,-11.09,36,10346
2026-04-09T15:08:33,46,0,6,0.80,17,-10.17,35,10363
2026-04-09T15:08:35,47,0,6,0.79,75,-20.750000000000007,34,10438
2026-04-09T15:08:37,48,0,6,0.77,19,-10.19,33,10457
2026-04-09T15:08:40,49,1,6,0.78,107,-13.269999999999998,32,10564
2026-04-09T15:08:41,50,0,6,0.76,15,-10.15,31,10579
2026-04-09T15:08:42,51,0,6,0.75,10,-10.1,30,10589
2026-04-09T15:08:45,52,1,6,0.75,77,-11.170000000000002,29,10666
2026-04-09T15:08:46,53,0,6,0.74,17,-10.17,28,10683
2026-04-09T15:08:50,54,2,6,0.76,125,-8.049999999999997,27,10808
2026-04-09T15:08:53,55,4,6,0.82,108,35.320000000000014,26,10916
2026-04-09T15:09:00,56,5,6,0.89,250,52.70000000000001,25,11166
2026-04-09T15:09:02,57,3,6,0.93,45,34.049999999999976,24,11211
2026-04-09T15:09:05,58,1,6,0.93,65,-8.649999999999999,23,11276
2026-04-09T15:09:07,59,0,6,0.92,54,-16.34,22,11330
2026-04-09T15:09:10,60,2,6,0.93,86,-3.060000000000028,21,11416
2026-04-09T15:09:12,61,4,6,0.98,67,40.930000000000035,20,11483
2026-04-09T15:09:17,62,4,6,1.03,167,6.729999999999885,19,11650
2026-04-09T15:09:18,63,0,6,1.02,16,-10.16,18,11666
